TransactionID,Item
1,Butter
1,Milk
1,Apples
2,Butter
2,Bread
3,Cheese
3,Butter
3,Milk
3,Beef
4,Bread
4,Rice
4,Apples
5,Rice
5,Eggs
5,Bread
5,Bananas
6,Chicken
6,Beef
6,Milk
7,Beef
7,Chicken
8,Butter
8,Apples
8,Milk
8,Bread
8,Bananas
9,Apples
9,Beef
9,Cheese
9,Bread
10,Beef
10,Eggs
10,Bananas
11,Bread
11,Bananas
11,Beef
11,Rice
12,Cheese
12,Rice
13,Milk
13,Cheese
13,Eggs
13,Beef
13,Chicken
14,Chicken
14,Bananas
15,Rice
15,Milk
16,Chicken
16,Butter
16,Cheese
16,Milk
16,Eggs
17,Bananas
17,Eggs
17,Milk
17,Beef
17,Apples
18,Beef
18,Bread
19,Bread
19,Rice
19,Milk
19,Apples
20,Beef
20,Milk
20,Butter
20,Rice
21,Bread
21,Apples
21,Rice
21,Milk
21,Beef
22,Milk
22,Beef
22,Bread
22,Cheese
22,Bananas
23,Beef
23,Butter
23,Bananas
23,Eggs
23,Bread
24,Cheese
24,Eggs
25,Apples
25,Chicken
25,Bread
25,Rice
26,Butter
26,Eggs
26,Cheese
27,Beef
27,Bread
28,Chicken
28,Bread
28,Rice
28,Bananas
29,Rice
29,Apples
29,Chicken
30,Beef
30,Bread
31,Cheese
31,Rice
32,Milk
32,Beef
33,Milk
33,Eggs
34,Rice
34,Butter
34,Beef
35,Chicken
35,Bananas
35,Apples
35,Butter
35,Eggs
36,Chicken
36,Milk
37,Chicken
37,Eggs
38,Apples
38,Chicken
38,Rice
38,Bread
38,Milk
39,Rice
39,Chicken
40,Cheese
40,Milk
40,Rice
40,Apples
41,Beef
41,Bananas
42,Apples
42,Beef
42,Eggs
43,Cheese
43,Rice
43,Chicken
43,Bananas
44,Bread
44,Rice
44,Chicken
44,Apples
44,Milk
45,Bananas
45,Apples
46,Milk
46,Bread
46,Chicken
47,Butter
47,Chicken
47,Apples
47,Bread
48,Milk
48,Rice
48,Butter
49,Butter
49,Cheese
49,Apples
49,Bread
50,Rice
50,Beef
50,Bread
50,Bananas
51,Cheese
51,Bread
52,Rice
52,Apples
52,Bananas
53,Apples
53,Bananas
53,Cheese
53,Butter
54,Butter
54,Bananas
54,Apples
54,Milk
54,Beef
55,Bananas
55,Chicken
55,Cheese
56,Milk
56,Beef
56,Rice
57,Cheese
57,Apples
58,Bread
58,Butter
58,Eggs
59,Butter
59,Chicken
60,Bananas
60,Apples
60,Cheese
60,Beef
61,Butter
61,Rice
61,Apples
61,Bananas
61,Milk
62,Bread
62,Eggs
62,Butter
62,Rice
63,Rice
63,Cheese
64,Eggs
64,Chicken
65,Eggs
65,Rice
65,Cheese
66,Butter
66,Chicken
66,Cheese
67,Rice
67,Bread
67,Milk
68,Bananas
68,Cheese
68,Apples
68,Chicken
68,Beef
69,Bread
69,Bananas
69,Chicken
69,Milk
70,Cheese
70,Bread
70,Butter
71,Butter
71,Bread
72,Bananas
72,Milk
72,Chicken
72,Apples
72,Rice
73,Milk
73,Beef
73,Bananas
73,Eggs
74,Cheese
74,Butter
75,Chicken
75,Cheese
75,Eggs
75,Rice
75,Bread
76,Rice
76,Milk
76,Beef
76,Eggs
76,Chicken
77,Eggs
77,Chicken
77,Butter
77,Rice
78,Eggs
78,Bread
78,Beef
78,Chicken
78,Cheese
79,Milk
79,Chicken
79,Apples
80,Bread
80,Chicken
80,Milk
80,Butter
81,Chicken
81,Butter
82,Butter
82,Eggs
82,Beef
82,Bananas
83,Chicken
83,Eggs
83,Beef
83,Bread
83,Butter
84,Bananas
84,Apples
84,Rice
85,Beef
85,Apples
85,Chicken
85,Eggs
86,Apples
86,Eggs
86,Beef
86,Milk
86,Bread
87,Chicken
87,Butter
87,Eggs
88,Butter
88,Cheese
88,Beef
88,Apples
89,Beef
89,Cheese
89,Apples
89,Butter
90,Bananas
90,Eggs
91,Chicken
91,Milk
91,Eggs
91,Bread
92,Rice
92,Cheese
92,Apples
93,Bread
93,Apples
93,Butter
93,Eggs
94,Chicken
94,Butter
94,Beef
95,Milk
95,Eggs
95,Chicken
95,Apples
95,Bread
96,Cheese
96,Chicken
96,Beef
96,Butter
96,Bread
97,Cheese
97,Beef
97,Apples
98,Beef
98,Rice
98,Butter
99,Chicken
99,Apples
99,Eggs
99,Butter
99,Bread
100,Chicken
100,Rice
100,Milk
100,Cheese
